Depth.Correct,DepthCM.Vania,Depth.predict,_2.5,_10,Age.bchron062722B,_90,_975,Codes,Spike,Abies,A.rubrum,A.sacch,A.sac,A.rugosa,A.crispa,Betula,Carya,Castanea,C.stolon,C.florida,Corylus,Fagus,F.nigra,F.penn,Ilex,J.ciner,J.nigra,Juniper,Erica,Empetrum,Vaccinium,Andromeda,Rhododen,Larix,Liquidam,Magnolia,Morus,Myrica,Nyssa,Os/Ca,Picea,P.diplo,P strobu,Pinus,Platanus,Populus,Prunus,Quercus,Salix,Sambucus,S.argen,Spirea,Tilia,Tsuga,Ulmus,Viburnum,Sambucus nigra,Vitis,Achilea,Ambrosia,Artemisi,Aster,Bidens,Chenopod,Petalosp,Hum.lu,Fabae.ud,Iva anua,Ran.ud,Thalictr,Rosa,Rumex,Urtica,Xanthium,Poaceae,San. officinalis,Apiaceae,Brasenia,Botrich,Botrioc,Cyperace,Dryopter,Equ,Glomus,Lyc.an,Lyc clav,Lyc.lu,Lyc.sel,Polypodi,T.latif,Nuphar,Nym,Nym.cell,Osmunda,Pediastr,Isoetes,Potamoge,Pteridiu,Tracheids,Sagitari,Sel.de-t,Sphagnum,sp.tri,Sporomie,Gelasino,Unknoun,SUM(A),SUM(B),SUM(L),SSUM(P),SSUM(C)
739,739,739,1344.975,2016.75,2385.5,2606.25,2950.05,ª2B-52.5,18,0,6,0,10,3,2,185,8,4,0,,2,68,1,6,1,1,0,0,5,0,,,,,0,,,0,0,9,0,5,20,46,3,0,0,78,1,0,,,0,102,10,0,,0,,2,0,1,0,0,0,,0,,,0,0,,,,0,,,0,0,4,2,,0,,,,0,,1,0,,2,4,0,0,46,0,0,,,,1,2,0,2,1,576,3,65,579,644
755,755,755,1793,2556.75,2790,2910,3057.025,,9,0,5,0,7,4,0,142,10,8,0,,1,51,4,2,0,1,0,0,0,2,0,,,0,0,,0,1,2,3,1,4,47,18,0,0,0,78,0,,0,,0,169,4,,,0,1,1,1,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,14,1,0,0,0,0,0,0,0,0,,0,0,2,0,0,18,1,,,0,0,0,2,,,0,564,3,38,567,605
761,761,761,2121,2798,2948,3015.25,3103,2B-74.5,18,0,9,1,6,2,0,116,8,23,0,,2,43,2,6,0,2,0,0,0,0,,,,,0,,,0,0,8,1,6,57,49,2,0,0,105,0,0,,,1,93,4,0,,1,,0,0,0,0,1,1,,0,,,0,0,,,,0,,,0,0,9,1,,1,,,,0,,0,0,,0,2,0,0,49,0,0,,,,0,5,0,,,547,2,67,549,616
765,765,765,2681,3002,3058.5,3098,3145.025,s2B-78.5,25,0,3,1,11,2,2,91,9,26,0,,3,51,0,4,0,1,0,0,0,0,,,,,0,,,0,0,9,1,7,54,54,1,0,0,95,0,1,,,2,69,5,0,,0,,1,0,0,0,1,0,,0,,,0,1,,,,1,,,0,0,15,1,,0,,,,0,,0,0,,1,3,0,0,54,0,0,,,,1,3,0,,,502,4,78,506,584
768,768,768,3061,3146,3190,3242.25,3678.025,ª2B-81.5,34,0,5,2,10,1,1,91,8,16,0,,0,38,0,10,0,1,0,0,0,0,,,,,0,,,1,0,5,0,7,66,51,2,0,0,111,0,0,,1,0,118,9,0,,0,,1,1,0,0,0,0,,0,,,0,0,,,,0,,,0,0,19,2,,0,,,,0,,0,0,,0,4,0,0,51,1,0,,,,0,1,0,,,554,2,78,556,634
771,771,771,3116.95,3237.75,3304,3392,3880.3,ª2B-84.5,39,0,5,1,6,2,0,101,11,12,0,1,0,40,0,6,0,0,1,0,0,0,,,,,1,,,0,0,7,0,7,70,48,5,0,0,99,0,0,,,1,82,9,0,,1,,0,0,0,0,0,0,,0,,,1,0,,,,0,,,0,0,15,0,,0,,,,0,,0,0,,0,0,0,0,48,0,0,,,,0,3,0,,,516,1,66,517,583
774,774,774,3157.85,3339.75,3418.5,3524,3987.125,2B-87.5,37,0,6,0,11,2,1,75,13,10,0,,2,38,0,11,0,1,0,0,0,0,,,,,0,,,0,0,5,2,8,64,35,1,0,1,130,0,0,,,2,78,10,0,,0,,4,2,0,0,1,0,,0,,,0,0,,,,0,,,0,0,6,0,,0,,,,0,,0,0,,0,0,0,1,35,0,0,,,,0,1,1,,,506,7,44,513,557
777,777,777,3197.925,3443,3538,3643.25,4066,ª2B-90.5,51,0,4,0,5,2,2,93,5,10,0,,3,54,2,4,0,2,0,0,0,0,,,,,0,,,0,0,14,2,13,58,37,7,2,0,122,0,0,,,3,47,1,0,,0,,2,1,1,0,0,0,,0,,,0,0,,,,3,,,0,0,10,0,,0,,,,2,,0,0,,0,0,0,0,37,0,0,,,,0,1,4,,,492,7,54,499,553
779,779,779,3222.9,3507,3617,3714.25,4094.1,2B-92.5,22,0,8,1,4,1,1,88,8,16,0,,3,54,1,10,0,1,0,0,0,1,,,,,0,,,1,0,5,1,4,47,30,4,0,0,127,0,0,,,0,73,14,0,,0,,0,0,0,0,1,0,,0,,,0,0,,,,0,,,0,0,18,0,,0,,,,0,,2,0,,0,0,0,0,30,0,1,,,,0,0,0,,,503,1,51,504,555
783,783,783,3303.775,3645,3771.5,3867,4162.075,2B-96.5,29,1,6,1,17,3,0,91,14,12,0,,0,46,0,10,0,1,0,0,1,0,,,,,0,,,1,0,21,0,3,63,36,8,1,0,118,0,0,,,2,68,3,0,,0,,1,2,1,0,0,0,,0,,,1,0,,,,1,,,0,0,9,3,,0,,,,0,,1,0,,1,1,1,0,36,0,0,,,,0,1,0,,,527,6,53,533,586
786,786,786,3351.975,3755,3896,3976,4206.075,F,14,0,0,3,15,5,0,90,17,8,0,,4,60,0,4,0,3,0,0,1,0,0,1,,0,0,,0,3,3,15,1,42,43,24,1,0,0,115,0,,0,,2,92,7,,,0,0,1,0,0,0,0,0,0,,1,0,1,1,0,0,0,1,,,0,0,3,1,0,0,0,0,0,0,0,1,,0,1,0,0,0,24,0,,,0,0,0,1,,,0,559,5,31,564,595
792,792,792,3511,4039,4125,4194,4292.075,═,13,0,5,1,18,1,0,53,9,4,0,,2,42,1,6,1,1,0,0,0,0,0,,,0,0,,0,3,2,14,2,9,107,15,0,0,0,127,0,,0,,2,74,7,,,0,0,0,1,0,0,0,0,0,,0,0,0,0,0,0,0,2,,,0,0,5,1,0,0,0,0,0,0,0,1,,0,3,0,0,0,15,0,,,0,0,1,0,,,0,506,3,26,509,535
795,795,795,3914.925,4193,4241,4297,4366.025,ª3B-8.5,14,1,7,1,13,1,1,64,23,14,0,,2,47,0,8,2,2,1,0,3,0,,,,,0,,,0,0,7,1,2,111,40,5,0,0,134,0,0,,,0,38,8,0,,0,,2,1,0,0,1,0,,0,,,0,0,,,,0,,,0,0,9,1,,0,,,,0,,0,0,,0,0,0,0,40,0,0,,,,0,2,0,1,,536,4,53,540,593
797,798,797,4185.95,4285.75,4335,4392,4628.025,e,19,0,6,1,17,1,0,81,22,19,0,,1,63,3,11,1,0,0,0,3,0,0,,,0,0,,0,0,2,18,1,45,40,52,6,0,0,202,0,,0,,1,22,5,,,0,0,4,1,1,0,0,0,0,,0,0,1,0,0,0,0,0,,,0,0,12,1,0,0,0,0,0,0,0,3,,0,2,0,0,0,52,0,,,0,0,1,2,,,0,623,7,73,630,703
804,804,804,4265.975,4391,4473.5,4622,5194.275,,17,1,2,0,17,8,0,76,27,4,0,,3,56,0,8,5,1,0,0,1,0,0,,,0,1,,0,0,2,21,1,25,79,57,2,0,0,216,1,,0,,3,32,12,,,0,0,1,0,0,0,0,0,0,,0,0,1,1,0,0,0,0,,1,0,0,15,0,0,0,0,0,0,0,1,2,,0,1,0,0,0,57,0,,,0,0,0,4,,,0,661,4,80,665,745
808,810,808,4300.975,4432.75,4544,4738,5327.75,,8,0,3,3,14,8,0,73,15,13,0,,1,60,0,6,0,0,0,0,0,0,0,,,0,1,,0,1,2,6,1,18,44,39,1,0,0,174,0,,0,,3,28,12,,,0,0,3,3,0,0,0,0,0,,0,0,0,0,0,0,0,1,,,0,0,9,0,0,0,0,0,0,0,0,5,,0,1,0,0,0,39,0,,,0,0,2,1,,,0,526,7,57,533,590
816,816,816,4350.975,4540.75,4688,4928.25,5551.375,F,12,0,4,2,16,10,1,128,13,3,1,,0,101,0,4,4,0,0,0,1,0,0,,1,0,0,,0,0,0,14,0,6,16,0,6,0,0,170,0,,1,,6,33,6,,,0,0,4,2,0,0,1,0,0,,1,0,0,0,0,0,0,0,,,0,0,12,0,0,0,0,0,0,0,0,3,,0,0,0,0,0,0,0,,,0,0,0,1,,,0,547,9,16,556,572
822,822,822,4397.925,4618.75,4808.5,5044.5,5697.15,,9,0,3,1,10,2,0,163,11,2,0,,0,100,1,8,3,0,0,0,0,0,0,,,0,0,,0,0,0,3,1,9,3,0,6,0,0,90,0,,0,,3,38,11,,,0,0,1,3,0,0,0,0,0,,0,0,0,0,0,0,0,0,,,0,0,8,2,0,0,0,0,0,0,0,1,,0,1,0,0,0,0,0,,,0,0,1,0,,,0,468,4,13,472,485
828,828,828,4436.95,4715,4909.5,5171.25,5784.175,,6,0,2,1,14,4,0,122,10,1,0,,0,129,0,5,2,0,0,0,0,0,0,,,0,0,,0,0,0,2,0,17,2,1,3,0,0,81,0,,0,,10,34,6,,,0,0,3,0,0,0,1,0,0,,0,0,1,2,0,0,0,0,,,0,0,8,0,0,0,0,0,0,0,0,3,,0,3,0,0,0,1,0,,,0,0,0,0,,,0,446,7,15,453,468
834,834,834,4468,4817.25,5013.5,5284.25,5922.15,,4,0,3,3,13,2,3,159,6,0,1,,1,118,2,5,0,1,0,0,0,0,0,,,0,0,,0,0,0,1,0,8,6,0,4,0,0,94,0,,0,,5,51,10,,,0,0,3,1,1,0,0,0,0,,0,0,0,0,1,0,0,1,,,0,0,22,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,0,0,,,0,0,0,1,,,0,496,7,25,503,528
840,840,840,4507.9,4902.5,5127,5390.5,5989.125,3B-53.5,23,0,2,1,14,1,0,99,15,2,0,,1,99,0,8,2,0,0,1,0,0,,,,,0,,,0,0,12,0,0,12,0,5,0,0,86,0,0,,,8,121,8,0,,0,,2,4,0,0,0,0,,0,,,0,0,,,,1,,,0,0,3,0,,0,,,,0,,1,1,,0,0,0,0,0,0,0,,,,0,2,0,,,497,7,7,504,511
849,849,849,4581.775,5047.5,5291.5,5548.75,6081.175,3B-62.5,13,0,12,1,7,1,1,78,9,10,0,,1,62,2,8,2,2,0,1,0,0,,,,,1,,,0,2,2,1,5,30,25,5,0,0,126,0,0,,,4,123,9,0,,0,,3,0,0,0,0,0,,0,,,0,0,,,,1,,,0,0,7,1,,0,,,,0,,0,0,,0,1,0,0,25,0,0,,,,0,1,0,,,530,4,35,534,569
860,860,860,4697.9,5211.75,5483,5732.25,6204.05,3B-73.5,12,0,6,0,9,6,2,80,7,2,0,,0,94,1,12,0,2,0,0,0,0,,,,,0,,,0,2,6,0,0,8,7,6,0,1,77,0,0,,,1,172,10,2,,0,,1,2,0,0,0,0,,0,,,0,1,,,,0,,,0,0,7,0,,0,,,,0,,1,0,,0,0,0,0,7,0,0,,,,0,0,0,,,513,4,15,517,532
870,870,870,4822.625,5394.75,5661,5899.5,6257.025,53B-83.5,12,0,4,1,17,3,1,104,9,3,0,,2,74,1,8,3,0,1,0,1,0,,,,,2,,,1,6,11,0,4,18,8,3,0,0,105,0,0,,,2,102,7,0,,1,,2,0,1,0,0,0,,1,,,0,2,,,,0,,,0,0,9,1,,0,,,,0,,1,0,,0,0,0,0,8,0,0,,,,0,2,0,,,502,6,21,508,529
880,880,880,4960.95,5559,5830.5,6054,6324.125,ªB3-93.5,11,0,4,0,8,1,1,44,13,1,0,,0,106,0,6,2,0,0,0,0,0,,,,,0,,,0,2,0,1,1,12,3,2,0,0,86,0,0,,,5,200,6,0,,0,,1,0,1,0,0,0,,0,,,0,0,,,,0,,,0,0,12,0,,0,,,,0,,0,0,,0,0,0,0,3,0,0,,,,0,0,0,,,504,2,15,506,521
890,890,890,5130.975,5757.5,6013,6183.25,6389.05,ª4B-3.5,16,0,5,2,12,2,0,89,3,1,0,,0,110,0,10,1,2,0,0,0,0,,,,,0,,,0,0,13,0,1,10,6,1,0,0,120,0,0,,,8,114,6,0,,0,,3,2,0,0,1,0,,0,,,0,3,,,,0,,,0,0,8,0,,0,,,,0,,1,0,,1,0,0,0,6,0,0,,,,0,1,0,,,516,9,17,525,542
896,896,896,5297.55,5887.75,6118,6264.25,6427,,6,0,0,2,15,3,0,55,2,0,0,,1,86,2,7,0,5,0,0,0,0,0,,,0,0,,0,0,4,18,3,3,5,0,7,0,0,139,0,,0,,3,127,8,,,1,0,1,2,1,0,0,0,0,,0,0,0,0,0,0,1,0,,,0,0,4,0,0,0,0,0,0,0,0,1,,0,0,0,0,0,0,0,,,0,0,1,0,,,0,496,5,6,501,507
904,904,904,5529.95,6102.75,6263,6363.25,6482,B4-17.5,2,0,5,0,8,1,1,50,12,0,0,,1,128,0,4,1,0,0,0,0,0,,,,,0,,,0,2,2,0,0,11,4,2,0,0,61,0,0,,,4,205,4,0,,0,,3,0,1,0,0,0,,0,,,0,0,,,,0,,,0,0,6,0,,0,,,,0,,0,0,,0,0,0,0,4,0,0,,,,0,0,0,,,506,4,10,510,520
915,915,915,6312.675,6459,6493,6534,6652.025,4B-28.5,15,0,0,0,10,4,1,78,10,1,0,,1,105,1,16,1,1,0,0,0,0,,,,,0,,,0,1,2,0,0,4,3,4,0,0,75,0,0,,,4,173,16,0,,0,,1,1,0,0,0,0,,0,,,0,0,,,,1,,,0,1,6,0,,0,,,,0,,1,0,,0,0,0,0,3,0,0,,,,0,2,0,,,511,3,13,514,527
920,920,920,6498.975,6582,6636,6733.5,7204.15,B4-33.5,15,0,0,3,12,1,1,83,3,1,0,,0,115,0,13,0,5,0,0,0,0,,,,,0,,,0,2,5,0,0,9,6,9,0,0,80,0,0,,,3,175,11,0,,0,,1,0,0,0,0,0,,0,,,0,0,,,,0,,,0,0,4,0,,0,,,,0,,1,0,,0,0,0,0,6,0,0,,,,0,1,0,,,537,1,12,538,550
925,925,925,6545.925,6682,6758,6897.25,7337.325,ªB4-38.5,28,0,1,2,10,1,0,74,4,3,0,,0,132,1,5,0,2,0,0,0,0,,,,,0,,,0,0,4,0,1,4,6,2,0,0,96,0,0,,,4,164,6,0,,0,,2,2,0,0,0,0,,0,,,0,0,,,,0,,,0,0,7,0,,0,,,,0,,0,0,,0,0,0,0,6,0,0,,,,0,3,0,,,522,4,16,526,542
930,930,930,6591.85,6780.5,6884.5,7038,7408.225,F4B-43.5,9,0,1,1,10,5,0,102,7,3,0,,1,105,1,2,1,4,0,0,0,0,,,,,0,,,0,2,5,0,0,8,2,5,0,0,98,0,0,,,6,136,11,0,,0,,2,0,0,0,0,0,,0,,,0,0,,,,1,,,0,0,5,0,,0,,,,1,,0,0,,0,0,0,0,2,0,0,,,,0,1,0,,,516,3,9,519,528
935,935,935,6636.925,6874,7005,7159.5,7465.05,4B-48.5,40,0,5,5,12,3,0,73,9,0,0,,0,121,0,8,0,0,0,0,0,0,,,,,0,,,0,0,12,0,0,8,2,4,0,0,97,2,0,,,7,128,8,1,,0,,2,0,0,0,0,0,,0,,,0,0,,,,1,,,0,0,9,0,,0,,,,0,,0,1,,0,0,0,0,2,0,0,,,,0,0,0,,,505,3,12,508,520
940,940,940,6685.85,6971.25,7125,7270.5,7525.2,ª4B-53.5,13,0,3,0,8,1,0,89,7,0,1,,0,133,1,6,0,4,0,0,0,0,,,,,0,,,0,0,10,1,1,12,0,5,1,1,91,0,0,,,4,134,9,0,,0,,1,0,0,0,1,0,,0,,,0,0,,,,3,,,0,0,4,0,,0,,,,0,,0,0,,0,0,0,0,0,0,0,,,,0,0,0,,,522,5,4,527,531
945,945,945,6736.875,7078,7246.5,7365,7570.025,ª4B-58.5,15,0,1,2,9,1,0,71,7,2,0,,1,102,1,8,0,8,0,0,0,0,,,,,0,,,0,1,17,0,1,12,2,8,0,0,103,0,0,,,5,120,9,0,,0,,1,0,0,0,0,0,,0,,,2,0,,,,1,,,0,0,5,0,,0,,,,0,,3,0,,0,0,0,0,2,1,0,,,,1,0,0,,,491,4,12,495,507
950,950,950,6823.725,7217,7365,7469,7622.075,4B-63.5,10,0,0,2,8,2,0,75,4,2,0,,0,122,0,9,1,5,0,1,0,0,,,,,0,,,0,3,9,0,1,4,4,9,0,0,137,0,0,,,2,73,8,0,,0,,0,2,0,0,0,0,,0,,,0,1,,,,0,,,0,0,5,1,,0,,,,0,,1,0,,0,0,0,0,4,0,0,,,,0,1,0,,,481,3,12,484,496
955,955,955,6968.575,7362,7486,7562,7692,4B-68.5,16,0,2,5,11,1,1,76,7,0,0,,0,122,0,7,0,3,0,0,0,0,,,,,0,,,0,2,9,0,0,12,2,3,0,0,112,0,0,,,5,111,8,0,,0,,0,0,1,0,0,0,,0,,,0,0,,,,0,,,0,0,17,0,,0,,,,0,,2,0,,1,0,0,0,2,0,0,,,,0,1,0,,,499,1,23,500,523
959,959,959,7075.925,7507.75,7584.5,7639,7754,ª4B-72.5,9,0,2,2,14,2,0,98,6,0,0,,1,116,0,18,0,3,0,0,0,0,,,,,0,,,1,0,2,0,1,8,0,5,0,0,115,0,0,,,2,98,10,0,,0,,1,0,0,0,0,0,,0,,,0,0,,,,1,,,0,0,11,1,,0,,,,0,,1,0,,0,0,0,0,0,0,0,,,,0,0,0,,,504,2,13,506,519
963,963,963,7596.95,7674,7727.5,7796,8157.3,s4B-76.5,15,0,2,1,10,3,0,97,15,1,0,,1,124,0,9,3,1,0,0,0,0,,,,,2,,,0,0,12,0,0,2,5,4,0,1,104,0,0,,,6,105,8,0,,0,,3,0,1,0,0,0,,0,,,0,0,,,,0,,,0,0,5,0,,0,,,,0,,1,0,,1,0,0,0,5,0,0,,,,0,0,0,,,516,4,12,520,532
967,967,967,7645.925,7761,7848,8017,8745.025,ª4B-80.5,10,0,9,0,14,0,0,75,7,0,0,,0,134,0,8,1,7,0,0,0,0,,,,,0,,,0,0,11,0,0,5,1,2,0,0,129,0,0,,,7,96,15,0,,0,,0,1,0,1,0,0,,0,,,0,0,,,,0,,,0,0,15,1,,0,,,,0,,1,0,,0,0,0,0,1,0,0,,,,0,1,0,,,521,2,19,523,542
972,972,972,7690.975,7854.75,7980.5,8211.25,9000.3,d4B-85.5,3,0,7,4,5,2,0,88,5,0,0,,0,114,0,2,1,4,0,0,0,0,,,,,0,,,0,1,7,0,2,6,12,2,0,0,110,0,0,,,2,121,5,0,,0,,1,2,3,0,1,0,,0,,,0,1,,,,0,,,0,0,14,0,,0,,,,0,,0,0,,0,0,0,0,12,0,0,,,,0,0,0,,,500,8,26,508,534
976,976,976,7732.95,7922,8080,8347.25,9152.125,,4,0,1,3,7,1,5,91,6,1,0,,0,94,2,8,1,7,1,0,0,0,0,,,0,0,1,0,0,3,9,0,7,13,1,0,0,0,132,0,,0,,8,109,5,,,,0,4,0,0,0,1,0,1,,0,0,0,0,0,0,,,,,,0,1,1,0,0,0,0,0,0,0,2,,0,0,0,0,0,,,,,,,,,,,,516,6,4,522,526
995,996,995,7893.95,8269.75,8588.5,8919.5,9694.1,,3,0,0,0,13,4,1,112,6,0,0,,0,113,0,3,1,4,0,0,0,0,0,,,0,0,,0,0,0,11,2,3,7,3,5,0,0,97,0,,0,,8,118,11,,,0,0,3,1,4,0,1,0,0,,0,0,0,0,0,0,0,1,,,0,0,4,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,3,0,,,0,0,0,0,,,0,522,10,7,532,539
1014,1014,1014,8117.825,8758,9092.5,9396.5,9997.275,F,6,0,0,0,4,1,0,48,3,0,0,,0,34,3,5,1,1,0,0,0,0,0,,,0,0,1,0,0,0,19,2,16,51,6,2,0,0,210,1,,0,,1,73,10,,,0,0,1,1,0,0,1,0,0,,0,0,0,3,0,0,0,1,,,0,0,1,0,0,0,0,0,0,0,0,2,,0,0,0,0,0,3,0,,,0,0,0,0,,,0,492,7,6,499,505
1033,1033,1033,8457.95,9253.75,9579,9833,10178.3,F,9,0,3,0,1,0,0,29,2,0,0,,1,11,0,2,6,3,0,0,0,0,0,,,0,0,,0,0,0,18,2,4,69,2,2,0,0,190,0,,0,,2,88,6,,,0,0,4,1,0,0,1,0,0,,0,0,1,1,0,0,0,0,,,0,1,0,0,0,0,0,1,0,0,0,3,,0,0,0,0,0,2,0,,,0,0,0,0,,,0,441,8,7,449,456
1052,1052,1052,9171.725,9894,10082,10196,10383,═,5,0,3,2,5,9,0,36,1,0,0,,1,1,1,16,9,1,0,0,0,0,0,,,0,0,,2,0,0,19,0,15,83,4,3,0,0,163,1,,0,,2,112,8,,,0,0,2,3,0,0,1,0,0,,0,0,1,1,0,0,0,3,,,0,0,2,1,0,0,0,0,0,0,0,1,,0,0,0,0,0,4,1,,,0,0,0,1,,,0,497,11,10,508,518
